ext,mimetype,kind
accdb,,Microsoft Access Database
accft,,Microsoft Access Data Type Template
adt,,xDT Abrechnungsdatentransfer
advantage,,Database Server
adx,,Archetype Designer Document
agr,,ArcView ASCII grid
aio,,APL programming language file transfer
air,,Adobe AIR installation package
akm,,Akai Multitimbral sample information
akp,,Akai Program sample information
ale,,Avid Log Exchange
all,,WordPerfect General printer information
amg,,ACTOR System image
aml,,AutomationML
amlx,,AutomationML (Compressed)
ann,,Windows Help file Annotation
asax,,ASP.NET global application
ascx,,ASP.NET User Control
ashx,,ASP.NET handler
asx,,Advanced Stream Redirector
bar,,IMB WebSphere Broker archive
bdt,,xDT Behandlungsdatentransfer
bin,application/octet-stream,Binary data
cd,,ASP.NET class diagram
cdf,,"Common Data Format, Mathematica Computable Document Format"
chm,,Compiled Help file
cho,,ChordPro lead sheet
cif,,Crystallographic Information
cmd,,Command Prompt batch file
cmod,,Celestia Model
coe,,Xilinx ISE Coefficient file
compile,,ASP.NET precompiled stub
cpl,,Windows 3.x Control panel
crai,,CRAM index
d,,Unix configuration files directory
dae,,COLLADA file
daf,,Digital Anchor Data File
dal,,Helvar Digidim system
dat,,"AMPL data file, Siemens Maxum Chromatograph chromatogram, LDraw 3D Model, Microsoft Word Document, RSNetWorx Project data, Data file in special format or ASCII, Clarion Database, Norton Utilities disc image data, Optical disc image, Video CD MPEG stream, Windows registry hive, Minecraft game data"
dats,,Dynamic source
dav,,DVR365 or AlienDVR Proprietary DVR format
db,,"Database, dBASE/dBFast Configuration, Multi Edit config"
db$,,"Clarion Modula-2 Temperature debug info, dBASE Temporary file"
db2,,dBASE II Database
db3,,dBASE III Database
dba,,Turbo Prolog/DataEase Database
dbc,,Visual FoxPro DataBaseContainer
dbd,,Clarion Modula-2 Business Insight Business data
dbd,,Clarion Modula-2 Debug info
dbf,,Database File
dbg,,Microsoft C/C++ Symbolic debugging information
dbk,,dBASE IV Database backup
dbl,,EAGLE Design Block
dbm,,DataBoss Menu template
dbm,,DataEase Datafile
dbo,,dBASE IV Compiled program
dbpro,,DarkBasicPro Project
dbs,,"Managing Your Money Data file, Database in SQL Windows format, PRODAS Datafile, SQL Windows Datafile, MS Word/MS Worsk Printer description"
dbt,,"FoxPro 2.x FoxBASE+ style memo, dBASE/dBFast Memo file"
dbw,,DataBoss Windows file
dbx,,GCGW DataBeam
dca,,IBM DisplayWrite Document Content Architecture text
dci,,Dreamcast Save File
dcl,,Borland Delphi Control Library
dcp,,OS/2 Device Code Page
